# source=Family 3, view=Tuning, params=baseline_control (PWM), exported=2026-06-23, key=PWM tuned step response
t,x
0.001,0.00001
0.011,0.00080
0.021,0.00246
0.031,0.00464
0.041,0.00713
0.051,0.00981
0.061,0.01261
0.071,0.01547
0.081,0.01837
0.091,0.02129
0.101,0.02423
0.111,0.02718
0.121,0.03013
0.131,0.03308
0.141,0.03604
0.151,0.03900
0.161,0.04196
0.171,0.04492
0.181,0.04788
0.191,0.05084
0.201,0.05380
0.211,0.05676
0.221,0.05972
0.231,0.06268
0.241,0.06564
0.251,0.06857
0.261,0.07142
0.271,0.07430
0.281,0.07668
0.291,0.07924
0.301,0.08126
0.311,0.08327
0.321,0.08518
0.331,0.08661
0.341,0.08830
0.351,0.08937
0.361,0.09073
0.371,0.09174
0.381,0.09263
0.391,0.09357
0.401,0.09413
0.411,0.09498
0.421,0.09553
0.431,0.09609
0.441,0.09665
0.451,0.09698
0.461,0.09750
0.471,0.09780
0.481,0.09812
0.491,0.09838
0.501,0.09854
0.511,0.09884
0.521,0.09901
0.531,0.09917
0.541,0.09929
0.551,0.09937
0.561,0.09950
0.571,0.09956
0.581,0.09966
0.591,0.09975
0.601,0.09980
0.611,0.09992
0.621,0.09997
0.631,0.10007
0.641,0.10015
0.651,0.10017
0.661,0.10006
0.671,0.09998
0.681,0.09999
0.691,0.10003
0.701,0.10002
0.711,0.09989
0.721,0.09979
0.731,0.09980
0.741,0.09983
0.751,0.09985
0.761,0.09995
0.771,0.09999
0.781,0.10008
0.791,0.10016
0.801,0.10018
0.811,0.10006
0.821,0.09998
0.831,0.09999
0.841,0.10003
0.851,0.10002
0.861,0.09989
0.871,0.09979
0.881,0.09980
0.891,0.09983
0.901,0.09985
0.911,0.09995
0.921,0.09999
0.931,0.10008
0.941,0.10016
0.951,0.10018
0.961,0.10006
0.971,0.09998
0.981,0.09999
0.991,0.10003
1.001,0.10002
1.011,0.09989
1.021,0.09979
1.031,0.09972
1.041,0.09966
1.051,0.09961
1.061,0.09957
1.071,0.09952
1.081,0.09948
1.091,0.09944
1.101,0.09940
1.111,0.09936
1.121,0.09932
1.131,0.09928
1.141,0.09924
1.151,0.09920
1.161,0.09916
1.171,0.09912
1.181,0.09908
1.191,0.09904
1.201,0.09900
1.211,0.09896
1.221,0.09892
1.231,0.09888
1.241,0.09884
1.251,0.09880
1.261,0.09876
1.271,0.09872
1.281,0.09868
1.291,0.09864
1.301,0.09860
1.311,0.09868
1.321,0.09871
1.331,0.09871
1.341,0.09870
1.351,0.09867
1.361,0.09864
1.371,0.09861
1.381,0.09864
1.391,0.09869
1.401,0.09871
1.411,0.09871
1.421,0.09869
1.431,0.09866
1.441,0.09863
1.451,0.09859
1.461,0.09867
1.471,0.09871
1.481,0.09871
1.491,0.09870
1.501,0.09867
1.511,0.09864
1.521,0.09861
1.531,0.09864
1.541,0.09869
1.551,0.09871
1.561,0.09871
1.571,0.09869
1.581,0.09866
1.591,0.09863
1.601,0.09859
1.611,0.09867
1.621,0.09871
1.631,0.09871
1.641,0.09870
1.651,0.09867
1.661,0.09864
1.671,0.09861
1.681,0.09864
1.691,0.09869
1.701,0.09871
1.711,0.09871
1.721,0.09869
1.731,0.09866
1.741,0.09863
1.751,0.09859
1.761,0.09867
1.771,0.09871
1.781,0.09871
1.791,0.09870
1.801,0.09867
1.811,0.09864
1.821,0.09861
1.831,0.09864
1.841,0.09869
1.851,0.09871
1.861,0.09871
1.871,0.09869
1.881,0.09866
1.891,0.09863
1.901,0.09859
1.911,0.09867
1.921,0.09871
1.931,0.09871
1.941,0.09870
1.951,0.09867
1.961,0.09864
1.971,0.09861
1.981,0.09864
1.991,0.09869
2.001,0.09871
2.011,0.09871
2.021,0.09869
2.031,0.09866
2.041,0.09863
2.051,0.09859
2.061,0.09867
2.071,0.09871
2.081,0.09871
2.091,0.09870
2.101,0.09867
2.111,0.09864
2.121,0.09861
2.131,0.09864
2.141,0.09869
2.151,0.09871
2.161,0.09871
2.171,0.09869
2.181,0.09866
2.191,0.09863
2.201,0.09859
2.211,0.09867
2.221,0.09871
2.231,0.09871
2.241,0.09870
2.251,0.09867
2.261,0.09864
2.271,0.09861
2.281,0.09864
2.291,0.09869
2.301,0.09871
2.311,0.09871
2.321,0.09869
2.331,0.09866
2.341,0.09863
2.351,0.09859
2.361,0.09867
2.371,0.09871
2.381,0.09871
2.391,0.09870
2.401,0.09867
2.411,0.09864
2.421,0.09861
2.431,0.09864
2.441,0.09869
2.451,0.09871
2.461,0.09871
2.471,0.09869
2.481,0.09866
2.491,0.09863
2.501,0.09859
2.511,0.09867
2.521,0.09871
2.531,0.09871
2.541,0.09870
2.551,0.09867
2.561,0.09864
2.571,0.09861
2.581,0.09864
2.591,0.09869
2.601,0.09871
2.611,0.09871
2.621,0.09869
2.631,0.09866
2.641,0.09863
2.651,0.09859
2.661,0.09867
2.671,0.09871
2.681,0.09871
2.691,0.09870
2.701,0.09867
2.711,0.09864
2.721,0.09861
2.731,0.09864
2.741,0.09869
2.751,0.09871
2.761,0.09871
2.771,0.09869
2.781,0.09866
2.791,0.09863
2.801,0.09859
2.811,0.09867
2.821,0.09871
2.831,0.09871
2.841,0.09870
2.851,0.09867
2.861,0.09864
2.871,0.09861
2.881,0.09864
2.891,0.09869
2.901,0.09871
2.911,0.09871
2.921,0.09869
2.931,0.09866
2.941,0.09863
2.951,0.09859
2.961,0.09867
2.971,0.09871
2.981,0.09871
2.991,0.09870
