# source=Family 4, view=Overlay, params=baseline_twin_good, exported=2026-06-23
t,twin_x,rig_x,twin_P,rig_P
0.000,0.00000,0.00000,16.0000,16.0000
0.020,0.00769,0.00769,15.3849,15.3849
0.040,0.01479,0.01479,14.8172,14.8172
0.060,0.02134,0.02134,14.2930,14.2930
0.080,0.02739,0.02739,13.8092,13.8092
0.100,0.03297,0.03297,13.3626,13.3626
0.120,0.03812,0.03812,12.9503,12.9503
0.140,0.04288,0.04288,12.5697,12.5697
0.160,0.04727,0.04727,12.2183,12.2183
0.180,0.05132,0.05132,11.8940,11.8940
0.200,0.05507,0.05507,11.5946,11.5946
0.220,0.05852,0.05852,11.3183,11.3183
0.240,0.06171,0.06171,11.0631,11.0631
0.260,0.06465,0.06465,10.8276,10.8276
0.280,0.06737,0.06737,10.6102,10.6102
0.300,0.06988,0.06988,10.4096,10.4096
0.320,0.07220,0.07220,10.2243,10.2243
0.340,0.07433,0.07433,10.0533,10.0533
0.360,0.07631,0.07631,9.8954,9.8954
0.380,0.07813,0.07813,9.7497,9.7497
0.400,0.07981,0.07981,9.6152,9.6152
0.420,0.08136,0.08136,9.4910,9.4910
0.440,0.08280,0.08280,9.3764,9.3764
0.460,0.08412,0.08412,9.2705,9.2705
0.480,0.08534,0.08534,9.1729,9.1729
0.500,0.08647,0.08647,9.0827,9.0827
0.520,0.08751,0.08751,8.9994,8.9994
0.540,0.08847,0.08847,8.9226,8.9226
0.560,0.08935,0.08935,8.8517,8.8517
0.580,0.09017,0.09017,8.7862,8.7862
0.600,0.09093,0.09093,8.7257,8.7257
0.620,0.09163,0.09163,8.6699,8.6699
0.640,0.09227,0.09227,8.6184,8.6184
0.660,0.09286,0.09286,8.5709,8.5709
0.680,0.09341,0.09341,8.5270,8.5270
0.700,0.09392,0.09392,8.4865,8.4865
0.720,0.09439,0.09439,8.4491,8.4491
0.740,0.09482,0.09482,8.4146,8.4146
0.760,0.09522,0.09522,8.3827,8.3827
0.780,0.09558,0.09558,8.3533,8.3533
0.800,0.09592,0.09592,8.3261,8.3261
0.820,0.09624,0.09624,8.3010,8.3010
0.840,0.09653,0.09653,8.2779,8.2779
0.860,0.09679,0.09679,8.2565,8.2565
0.880,0.09704,0.09704,8.2368,8.2368
0.900,0.09727,0.09727,8.2186,8.2186
0.920,0.09748,0.09748,8.2018,8.2018
0.940,0.09767,0.09767,8.1863,8.1863
0.960,0.09785,0.09785,8.1719,8.1719
0.980,0.09802,0.09802,8.1587,8.1587
1.000,0.09817,0.09817,8.1465,8.1465
1.020,0.09831,0.09831,8.1353,8.1353
1.040,0.09844,0.09844,8.1249,8.1249
1.060,0.09856,0.09856,8.1153,8.1153
1.080,0.09867,0.09867,8.1064,8.1064
1.100,0.09877,0.09877,8.0982,8.0982
1.120,0.09887,0.09887,8.0907,8.0907
1.140,0.09895,0.09895,8.0837,8.0837
1.160,0.09903,0.09903,8.0773,8.0773
1.180,0.09911,0.09911,8.0713,8.0713
1.200,0.09918,0.09918,8.0658,8.0658
1.220,0.09924,0.09924,8.0608,8.0608
1.240,0.09930,0.09930,8.0561,8.0561
1.260,0.09935,0.09935,8.0518,8.0518
1.280,0.09940,0.09940,8.0478,8.0478
1.300,0.09945,0.09945,8.0441,8.0441
1.320,0.09949,0.09949,8.0407,8.0407
1.340,0.09953,0.09953,8.0376,8.0376
1.360,0.09957,0.09957,8.0347,8.0347
1.380,0.09960,0.09960,8.0320,8.0320
1.400,0.09963,0.09963,8.0296,8.0296
1.420,0.09966,0.09966,8.0273,8.0273
1.440,0.09968,0.09968,8.0252,8.0252
1.460,0.09971,0.09971,8.0233,8.0233
1.480,0.09973,0.09973,8.0215,8.0215
1.500,0.09975,0.09975,8.0198,8.0198
1.520,0.09977,0.09977,8.0183,8.0183
1.540,0.09979,0.09979,8.0169,8.0169
1.560,0.09981,0.09981,8.0156,8.0156
1.580,0.09982,0.09982,8.0144,8.0144
1.600,0.09983,0.09983,8.0133,8.0133
1.620,0.09985,0.09985,8.0123,8.0123
1.640,0.09986,0.09986,8.0113,8.0113
1.660,0.09987,0.09987,8.0105,8.0105
1.680,0.09988,0.09988,8.0097,8.0097
1.700,0.09989,0.09989,8.0089,8.0089
1.720,0.09990,0.09990,8.0082,8.0082
1.740,0.09991,0.09991,8.0076,8.0076
1.760,0.09991,0.09991,8.0070,8.0070
1.780,0.09992,0.09992,8.0065,8.0065
1.800,0.09993,0.09993,8.0060,8.0060
1.820,0.09993,0.09993,8.0055,8.0055
1.840,0.09994,0.09994,8.0051,8.0051
1.860,0.09994,0.09994,8.0047,8.0047
1.880,0.09995,0.09995,8.0043,8.0043
1.900,0.09995,0.09995,8.0040,8.0040
1.920,0.09995,0.09995,8.0037,8.0037
1.940,0.09996,0.09996,8.0034,8.0034
1.960,0.09996,0.09996,8.0031,8.0031
1.980,0.09996,0.09996,8.0029,8.0029
