# source=Family 4, view=Sync, params=baseline_twin_faults (timing), exported=2026-06-23, bestShift=30
t,twin_x,rig_raw_x,rig_aligned_x
0.000,0.00000,0.00000,
0.020,0.00769,0.00000,
0.040,0.01479,0.00000,
0.060,0.02134,0.00000,
0.080,0.02739,0.00000,
0.100,0.03297,0.00000,
0.120,0.03812,0.00000,
0.140,0.04288,0.00000,
0.160,0.04727,0.00392,0.00000
0.180,0.05132,0.01131,0.00000
0.200,0.05507,0.01813,0.00000
0.220,0.05852,0.02442,0.00000
0.240,0.06171,0.03023,0.00000
0.260,0.06465,0.03560,0.00000
0.280,0.06737,0.04055,0.00000
0.300,0.06988,0.04512,0.00000
0.320,0.07220,0.04934,0.00769
0.340,0.07433,0.05323,0.01479
0.360,0.07631,0.05683,0.02134
0.380,0.07813,0.06015,0.02739
0.400,0.07981,0.06321,0.03297
0.420,0.08136,0.06604,0.03812
0.440,0.08280,0.06865,0.04288
0.460,0.08412,0.07106,0.04727
0.480,0.08534,0.07329,0.05132
0.500,0.08647,0.07534,0.05507
0.520,0.08751,0.07724,0.05852
0.540,0.08847,0.07899,0.06171
0.560,0.08935,0.08060,0.06465
0.580,0.09017,0.08209,0.06737
0.600,0.09093,0.08347,0.06988
0.620,0.09163,0.08474,0.07220
0.640,0.09227,0.08591,0.07433
0.660,0.09286,0.08700,0.07631
0.680,0.09341,0.08800,0.07813
0.700,0.09392,0.08892,0.07981
0.720,0.09439,0.08977,0.08136
0.740,0.09482,0.09056,0.08280
0.760,0.09522,0.09128,0.08412
0.780,0.09558,0.09195,0.08534
0.800,0.09592,0.09257,0.08647
0.820,0.09624,0.09314,0.08751
0.840,0.09653,0.09367,0.08847
0.860,0.09679,0.09416,0.08935
0.880,0.09704,0.09461,0.09017
0.900,0.09727,0.09502,0.09093
0.920,0.09748,0.09540,0.09163
0.940,0.09767,0.09576,0.09227
0.960,0.09785,0.09608,0.09286
0.980,0.09802,0.09638,0.09341
1.000,0.09817,0.09666,0.09392
1.020,0.09831,0.09692,0.09439
1.040,0.09844,0.09716,0.09482
1.060,0.09856,0.09737,0.09522
1.080,0.09867,0.09758,0.09558
1.100,0.09877,0.09776,0.09592
1.120,0.09887,0.09793,0.09624
1.140,0.09895,0.09809,0.09653
1.160,0.09903,0.09824,0.09679
1.180,0.09911,0.09838,0.09704
1.200,0.09918,0.09850,0.09727
1.220,0.09924,0.09862,0.09748
1.240,0.09930,0.09872,0.09767
1.260,0.09935,0.09882,0.09785
1.280,0.09940,0.09891,0.09802
1.300,0.09945,0.09899,0.09817
1.320,0.09949,0.09907,0.09831
1.340,0.09953,0.09914,0.09844
1.360,0.09957,0.09921,0.09856
1.380,0.09960,0.09927,0.09867
1.400,0.09963,0.09933,0.09877
1.420,0.09966,0.09938,0.09887
1.440,0.09968,0.09943,0.09895
1.460,0.09971,0.09947,0.09903
1.480,0.09973,0.09951,0.09911
1.500,0.09975,0.09955,0.09918
1.520,0.09977,0.09958,0.09924
1.540,0.09979,0.09962,0.09930
1.560,0.09981,0.09964,0.09935
1.580,0.09982,0.09967,0.09940
1.600,0.09983,0.09970,0.09945
1.620,0.09985,0.09972,0.09949
1.640,0.09986,0.09974,0.09953
1.660,0.09987,0.09976,0.09957
1.680,0.09988,0.09978,0.09960
1.700,0.09989,0.09980,0.09963
1.720,0.09990,0.09981,0.09966
1.740,0.09991,0.09983,0.09968
1.760,0.09991,0.09984,0.09971
1.780,0.09992,0.09985,0.09973
1.800,0.09993,0.09986,0.09975
1.820,0.09993,0.09987,0.09977
1.840,0.09994,0.09988,0.09979
1.860,0.09994,0.09989,0.09981
1.880,0.09995,0.09990,0.09982
1.900,0.09995,0.09991,0.09983
1.920,0.09995,0.09992,0.09985
1.940,0.09996,0.09992,0.09986
1.960,0.09996,0.09993,0.09987
1.980,0.09996,0.09993,0.09988
