# source=Family 2, view=Cylinder, params=baseline_hydraulic, exported=2026-06-23, key=areas/forces vs rod at bore 40mm
rod_mm,A_cap_mm2,A_rod_mm2,phi,Fext_kN,Fret_kN
10,1257,1178,1.067,20.11,18.85
12,1257,1144,1.099,20.11,18.30
14,1257,1103,1.140,20.11,17.64
16,1257,1056,1.190,20.11,16.89
18,1257,1002,1.254,20.11,16.03
20,1257,942,1.333,20.11,15.08
22,1257,877,1.434,20.11,14.02
24,1257,804,1.563,20.11,12.87
26,1257,726,1.732,20.11,11.61
28,1257,641,1.961,20.11,10.25
30,1257,550,2.286,20.11,8.80
32,1257,452,2.778,20.11,7.24
34,1257,349,3.604,20.11,5.58
36,1257,239,5.263,20.11,3.82
38,1257,123,10.256,20.11,1.96
